日平均気温,降雪深
-10.9,98
-9.6,102
-2.3,64
3.7,7
10.5,0
15.9,0
20,0
19.3,0
15.4,0
8.6,0
-2.4,304
-4.8,126
-9.6,164
-4.9,68
-4,66
4.8,10
10,0
14.3,0
18.1,0
20,0
17,0
7.3,0
0.5,92
-3,91
-8.9,94
-6.2,181
-2.8,113
4.4,39
9.9,0
16.4,0
23.3,0
21,0
14.5,0
9,7
1.5,66
-2.5,136
-7.7,194
-7.5,133
-2.5,44
4.8,15
13.9,0
15.1,0
18.7,0
18.3,0
16.4,0
9.6,0
1.4,133
-7.7,166
-7.7,159
-8.8,104
-4.7,61
5.1,84
12,0
14.2,0
20.1,0
20.5,0
14.4,0
9.2,27
3.1,55
-3.1,92
-6.9,243
-6.5,92
-2.9,131
4.2,26
10.9,0
16.2,0
20.4,0
19.8,0
15.5,0
8.4,0
2.3,15
-2.4,150
-8,153
-5.5,65
-0.3,53
7.4,15
12.2,0
16,0
20.1,0
20,0
15.8,0
9.4,0
0.6,147
-5.2,191
-9.4,132
-5.7,140
-3.2,36
3.9,25
10.2,0
15.7,0
19.7,0
22.3,0
16.6,0
7.8,0
1.9,48
-5.5,143
-9.8,151
-7.6,129
-2.4,71
6.4,8
11.7,0
17.8,0
22,0
21.2,0
17.9,0
8.9,0
2.2,87
-4.5,105
-7.8,128
-8.1,96
-3.1,147
7,0
12.8,0
15.6,0
20.6,0
19.5,0
16.2,0
7.5,0
0.9,100
-4.2,111
-10,48
-6,27
-0.8,53
5.6,35
12.4,0
16,0
21,0
20.9,0
14.2,0
8.7,0
2.5,61
-2.6,132
-8.3,116
-10.7,62
-2,19
4.8,23
12.3,0
15.8,0
18.5,0
20.3,0
13.6,0
7.7,29
1.8,70
-4.4,166
-6,118
-7.5,160
-3.6,95
2.8,44
10.9,0
16.4,0
18.4,0
21,0
15.3,0
8.6,0
1.4,204
-4.2,165
-8,215
-6.2,176
-1,170
3.3,14
11.2,0
15.4,0
18.7,0
21.4,0
14.1,0
10.4,0
3.1,69
-6.4,194
-9.5,204
-7.5,68
-1.4,43
4.9,28
14.1,0
15.5,0
21,0
21,0
14.7,0
8.4,0
-0.1,104
-5,84
-7.3,167
-10.3,71
0.5,79
6.3,1
11.5,0
17.5,0
20.2,0
19.9,0
15.4,0
6.5,6
3.8,25
-1.7,99
-8.7,182
-8.5,151
-3.9,53
4.6,12
10,0
15.5,0
21,0
18.5,0
14.1,0
7.4,0
1.4,135
-6,211
-10.6,83
-6,139
-5.1,101
4.2,5
13.8,0
16.2,0
21.2,0
20.8,0
15.5,0
9.1,17
2.8,84
-4.6,209
-9.2,111
-7.6,81
-1.8,76
5,2
11.1,1
15.9,0
19.4,0
19.9,0
14,0
8.7,0
2.5,72
-2.8,203
-7.6,110
-7.2,72
-1.4,13
6.9,6
12,0
16.6,0
20.9,0
21,0
15,0
9.6,0
0.7,77
-3,151
-6.5,123
-5.7,177
-4.7,35
5.4,2
11.4,0
16.6,0
20.4,0
22.2,0
15.1,0
8,0
1.8,168
-3.7,208
-7.8,70
-6.9,70
-3.5,60
4.8,30
11.3,0
15.8,0
20.5,0
20.5,0
15.6,0
8.1,1
0.6,137
-7.1,244
-7.7,144
-8.5,66
-3.4,38
5.7,2
11.2,0
16.4,0
19.6,0
21.3,0
16.6,0
8.3,0
1.9,22
-6.7,124
-7.4,165
-5.7,79
-2.7,73
4.1,9
12.4,0
15.8,0
20.4,0
18,0
14.4,0
8.4,3
0.6,129
-5,224
-12.2,151
-10.3,129
-2.6,83
3.2,8
10.7,20
16.3,0
21.8,0
19.2,0
15.6,0
8.7,0
2.8,60
-4.4,172
-8.8,121
-11.8,124
-4.2,57
4.6,9
11.4,0
18.3,0
23.9,0
22,0
14.7,0
7.5,5
1.4,56
-4.2,163
-7.8,186
-5.6,102
-3.7,79
2.8,18
10.4,0
17.3,0
19,0
21.3,0
14.6,0
10.5,0
1.6,89
-1.7,93
-7.2,126
-9.4,123
-2.9,170
2.4,29
11.9,2
18.2,0
19.1,0
18.2,0
15.1,0
8.3,0
2.6,74
-4.1,152
-10.2,140
-7.5,206
-3.4,94
5,6
9.8,0
15.7,0
21.2,0
19.8,0
14.5,0
8.7,12
-0.4,247
-2.7,163
-8.1,199
-9,70
-1.4,116
4.8,20
12.4,0
15.6,0
20.3,0
22.5,0
15.8,0
9.9,0
3,54
-2.3,199
-6.8,255
-8.4,98
-3.1,44
8.6,0
11.7,0
12.8,0
18.2,0
21.5,0
15.5,0
6.7,26
2.4,65
-5.5,162
-9,200
-10.4,97
-4.5,39
3.5,13
11.9,0
18.8,0
22.7,0
22.4,0
15.5,0
7.3,2
1,159
-4.8,121
-12.3,126
-4.8,121
-2.1,54
6.8,0
11.9,0
15.3,0
20.3,0
23.6,0
14.8,0
8.5,0
2.1,159
-6.7,187
-9.9,114
-9.3,64
-3.2,58
5.6,12
10.6,0
16.3,0
18.6,0
22,0
15.8,0
6.6,3
1.2,200
-5.3,151
-8.3,219
-7.5,113
-2.2,144
4.2,30
11.9,1
16.9,0
20.1,0
19.6,0
16.5,0
9.6,0
1.1,156
-4.8,184
-5.8,184
-9.3,181
-2.5,67
5.2,15
10.8,0
17.6,0
18.8,0
22.6,0
15.7,0
8.2,0
-0.6,122
-3,265
-5.6,180
-4.7,86
0.6,49
5.8,2
11.1,0
15.1,0
21.9,0
22,0
16.4,0
9.4,0
4,46
-4.3,239
-8.5,111
-3.6,56
0.2,23
6.6,13
12.7,0
17.7,0
21.5,0
21.8,0
16.3,0
9.9,0
4.6,43
-0.4,125
-4.5,87
-6.8,71
-1.9,108
6.7,1
12.9,0
18.6,0
19.5,0
20.5,0
16,0
10.4,0
2,184
-3.9,143
-5.9,158
-6,169
-1.8,50
5.3,2
11.3,0
16.3,0
19.9,0
20,0
14.3,0
8.7,0
2.6,116
-3.4,168
-5.4,150
-4.8,129
-1.4,46
4.5,18
11.1,0
15.4,0
19,0
19.7,0
15.6,0
8.9,0
2.9,128
-3.4,278
-8.8,230
-4.5,137
-2.7,130
4.7,9
12.8,0
16.6,0
21.9,0
23.9,0
17.7,0
9.8,0
3.1,64
-4.7,234
-7,129
-6.4,43
-1.4,9
6.2,14
13.2,0
16.3,0
21.1,0
20.1,0
15.3,0
10.1,0
3.4,59
-2.7,132
-6.5,295
-6.1,65
-1.9,96
4.2,23
10.2,0
16,0
20,0
20,0
15.9,0
9,9
1.1,167
-4.2,193
-6.7,142
-4.7,102
-2.2,132
5.3,14
11.2,0
16.7,0
22.3,0
18.9,0
14.9,0
8.5,5
4.7,0
-2.6,176
-9.5,165
-7.9,81
-1,66
8.1,10
13.4,0
15.5,0
19.9,0
20.2,0
17.2,0
10.3,0
0.9,124
-4.7,254
-6.4,256
-6.5,197
-2.9,95
4.8,11
11.1,0
17.8,0
21.7,0
23.9,0
17.4,0
9.1,3
3,58
-4.7,183
-7.6,194
-8.9,83
-2.8,173
4.2,43
13.9,0
16.7,0
22.1,0
23,0
16.8,0
9,3
1.1,165
-6,272
-9.9,111
-8.2,141
-2.9,50
6.1,1
13.1,0
16.2,0
20.4,0
20,0
14.8,0
9.1,0
2.8,47
-6.6,295
-6.6,125
-3.8,88
0,43
8.5,0
13.2,0
15.5,0
20.3,0
18.6,0
15.5,0
9.7,0
0.5,181
-6.2,218
-7.3,141
-8.2,66
-2.1,24
6.7,3
12.7,0
17.6,0
17.9,0
20.2,0
15.3,0
8.9,0
3,15
-3.5,182
-6.6,128
-4.3,182
-1.7,97
4.5,20
13.5,0
18.3,0
21,0
20.5,0
16.3,0
9.2,6
4.4,78
-4.2,228
-7.7,122
-7.4,106
